TITLE,COMPANY,LOCATION,LINK
DW / 은행 정보계 시스템 담당자 (10월 진행),케이뱅크은행,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=0277e0878799cc1b
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=5b73d7ce16a8338a
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=55a19c92c845685e
Data Scientist,국내 패션 대기업,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=8688a5b00a3e8aa4
[S/W] 차량 음석인식/합성 기술 개발,현대자동차그룹,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=8d056ff5eec408a0
AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력,현대오토에버,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=483b5c30ed9ccb06
현대무벡스 경력사원 상시,현대무벡스,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=d4c52ba1a491a8b9
[전자문서클랜] 비즈니스 데이터 분석가 (Business Data Analyst) 영입,카카오페이,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7410083b0fa70ab4
신용 리스크 관리 담당자,케이뱅크은행,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=da88185165789b8e
부문별 신입 및 경력사원,하나펀드서비스,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=d04545d82a5cac35
[TmaxAI/R&D] AI본부 R&D 개발 연구원 신입/경력 (병역특례포함),티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=92642420414e1634
[Forest] 네이버 쇼핑 AI 개발자,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=6857f93f4cb82fe2
글로벌 여행 스타트업 Trazy - 백엔드 개발자 (Python),트레이지(Trazy),서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7c3e870969914d57
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=eeb9fe1c361f0758
[NAVERxLINE] Global Ad AI Engineer/AI Planner,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=a358a39da5dfc360
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=665e5885dfd75df4
"Data Analyst, Korea",눔코리아,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=896fb44c7df3c9b5
빅데이터 엔지니어,케이뱅크은행,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=02bcc222720cc675
[Autonomous Driving] Virtual Environment Simulation Engineer,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=5ed0334bca0963cb
Marketing Data Analyst,하이퍼커넥트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=ac3939eb43b8729c
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=a746de9c7a6168ef
[반도체IP 기업] Reference SW Engineer (Junior급),커리어라임즈,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=a6e979b7f861362e
다나와 - 2020년 신입/경력직,다나와,서울 양천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=ede0cb5f2ef3c702
Data Engineer,Soomgo,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=5c45a3d19019f932
보안,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=810816c790317a08
HANA Core Developer,SAP,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=72f24502ef6b76d6
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=b574f1454ae36aab
[개발자] 꿈 찾아드립니다. 저희와 함께하세요.,ICON,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=c0fecdc732e79dd0
2020 하반기 DB그룹 신입사원 공개 (예정),DB그룹,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=d1caddedfe1a1028
2020 하반기 신입사원 [R&D],현대오토에버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=59f1d93075d27a46
Data Analyst,IQVIA,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=2c4c5856662783e7
HANA Test Engineer,SAP,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=93a0a2c0d0944837
[Forest] 네이버 쇼핑검색플랫폼 개발자,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=f3a14b3f8d9e3e12
Customer Engagement Specialist,Sanofi,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=bb76e00964d6cec6
Software Engineer,Electronic Arts,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=1cf825d234463890
Data Scientist,하이퍼커넥트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=5bc622575fee61b8
PANI 하반기 전분야,페니로이스,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=f5080d63de2df955
